Frequency(Hz),   Magnitude(dB)
   74.907, -13.793642
   75.888, -13.699982
   76.883, -13.610928
   77.890, -13.526604
   78.910, -13.447172
   79.944, -13.372776
   80.991, -13.303549
   82.052, -13.239653
   83.127, -13.181221
   84.216, -13.128407
   85.319, -13.081343
   86.437, -13.040163
   87.569, -13.005001
   88.716, -12.975971
   89.878, -12.953197
   91.055, -12.936785
   92.248, -12.926809
   93.457, -12.923357
   94.681, -12.926485
   95.921, -12.936222
   97.178, -12.952587
   98.451, -12.975552
   99.740, -13.005058
  101.047, -13.041031
  102.371, -13.083326
  103.712, -13.131763
  105.070, -13.186085
  106.447, -13.246014
  107.841, -13.311159
  109.254, -13.381092
  110.685, -13.455288
  112.135, -13.533146
  113.604, -13.613989
  115.092, -13.697044
  116.600, -13.781464
  118.127, -13.866322
  119.674, -13.950636
  121.242, -14.033386
  122.830, -14.113495
  124.439, -14.189913
  126.070, -14.261610
  127.721, -14.327614
  129.394, -14.387056
  131.089, -14.439213
  132.806, -14.483492
  134.546, -14.519550
  136.309, -14.547207
  138.094, -14.566538
  139.903, -14.577820
  141.736, -14.581568
  143.593, -14.578440
  145.474, -14.569284
  147.379, -14.555037
  149.310, -14.536697
  151.266, -14.515287
  153.247, -14.491789
  155.255, -14.467098
  157.289, -14.442017
  159.349, -14.417021
  161.436, -14.392645
  163.551, -14.369099
  165.694, -14.346382
  167.864, -14.324324
  170.063, -14.303028
  172.291, -14.281446
  174.548, -14.258921
  176.834, -14.234726
  179.151, -14.208061
  181.498, -14.177887
  183.875, -14.143660
  186.284, -14.104473
  188.724, -14.059832
  191.196, -14.009974
  193.701, -13.954241
  196.238, -13.893768
  198.809, -13.828728
  201.413, -13.760511
  204.052, -13.690159
  206.725, -13.618986
  209.433, -13.548672
  212.176, -13.480560
  214.956, -13.415997
  217.771, -13.356707
  220.624, -13.303892
  223.514, -13.258087
  226.442, -13.220398
  229.409, -13.191292
  232.414, -13.170807
  235.458, -13.159229
  238.543, -13.156425
  241.668, -13.162148
  244.833, -13.175957
  248.041, -13.197548
  251.290, -13.226549
  254.582, -13.262617
  257.917, -13.305342
  261.295, -13.354494
  264.718, -13.409836
  268.186, -13.471004
  271.699, -13.537809
  275.258, -13.609507
  278.864, -13.685600
  282.517, -13.764889
  286.218, -13.846228
  289.967, -13.928082
  293.766, -14.008829
  297.614, -14.086582
  301.512, -14.159653
  305.462, -14.226915
  309.464, -14.287216
  313.517, -14.340155
  317.624, -14.385883
  321.785, -14.425070
  326.000, -14.458887
  330.271, -14.488489
  334.597, -14.515249
  338.980, -14.540722
  343.421, -14.565908
  347.920, -14.591009
  352.477, -14.617321
  357.095, -14.645121
  361.772, -14.674513
  366.511, -14.705946
  371.313, -14.739639
  376.177, -14.775536
  381.104, -14.814035
  386.097, -14.854872
  391.155, -14.896891
  396.279, -14.939978
  401.470, -14.981977
  406.729, -15.022509
  412.057, -15.060217
  417.455, -15.095083
  422.923, -15.127699
  428.463, -15.158903
  434.076, -15.189545
  439.762, -15.221188
  445.523, -15.252373
  451.359, -15.281527
  457.272, -15.305988
  463.262, -15.321810
  469.330, -15.325233
  475.478, -15.314886
  481.707, -15.291292
  488.017, -15.258009
  494.410, -15.220425
  500.887, -15.184986
  507.448, -15.154907
  514.095, -15.131123
  520.830, -15.111897
  527.653, -15.090954
  534.565, -15.062735
  541.567, -15.021164
  548.662, -14.965059
  555.849, -14.897282
  563.130, -14.823820
  570.507, -14.750320
  577.981, -14.679586
  585.552, -14.610817
  593.222, -14.540512
  600.993, -14.465305
  608.866, -14.383327
  616.842, -14.297115
  624.923, -14.211027
  633.109, -14.129002
  641.402, -14.051544
  649.804, -13.975660
  658.317, -13.897020
  666.940, -13.812162
  675.677, -13.722088
  684.528, -13.629496
  693.495, -13.536865
  702.580, -13.444254
  711.783, -13.349373
  721.107, -13.250105
  730.554, -13.147289
  740.124, -13.044455
  749.819, -12.945492
  759.641, -12.851431
  769.592, -12.760498
  779.674, -12.669422
  789.887, -12.576687
  800.235, -12.483732
  810.717, -12.393925
  821.337, -12.311108
  832.097, -12.237398
  842.997, -12.171785
  854.040, -12.109959
  865.227, -12.045195
  876.562, -11.973125
  888.044, -11.895763
  899.677, -11.820080
  911.463, -11.752731
  923.403, -11.695768
  935.499, -11.646301
  947.753, -11.602184
  960.169, -11.564905
  972.747, -11.536705
  985.489, -11.517536
  998.399, -11.505053
 1011.477, -11.496670
 1024.727, -11.489279
 1038.151, -11.480839
 1051.750, -11.471617
 1065.528, -11.464760
 1079.486, -11.464216
 1093.627, -11.470358
 1107.953, -11.482546
 1122.467, -11.499569
 1137.171, -11.519730
 1152.067, -11.540482
 1167.159, -11.560242
 1182.448, -11.579639
 1197.938, -11.599895
 1213.630, -11.622650
 1229.529, -11.648819
 1245.635, -11.678307
 1261.952, -11.710417
 1278.484, -11.745283
 1295.231, -11.782791
 1312.198, -11.823046
 1329.388, -11.866314
 1346.802, -11.911575
 1364.445, -11.959631
 1382.318, -12.013142
 1400.426, -12.070925
 1418.771, -12.128622
 1437.357, -12.189314
 1456.186, -12.257616
 1475.261, -12.332031
 1494.587, -12.410223
 1514.165, -12.489120
 1534.000, -12.565014
 1554.095, -12.638733
 1574.453, -12.711527
 1595.078, -12.788460
 1615.973, -12.872841
 1637.141, -12.955429
 1658.588, -13.028786
 1680.314, -13.093750
 1702.326, -13.149054
 1724.626, -13.196957
 1747.218, -13.247005
 1770.106, -13.304617
 1793.293, -13.361704
 1816.785, -13.411629
 1840.584, -13.452332
 1864.695, -13.472721
 1889.122, -13.478777
 1913.869, -13.483173
 1938.940, -13.479540
 1964.339, -13.467829
 1990.071, -13.450081
 2016.141, -13.425772
 2042.551, -13.375475
 2069.308, -13.313839
 2096.415, -13.267357
 2123.877, -13.218367
 2151.699, -13.157169
 2179.886, -13.110954
 2208.442, -13.057558
 2237.372, -13.005678
 2266.680, -12.967979
 2296.373, -12.947618
 2326.455, -12.931425
 2356.930, -12.924683
 2387.805, -12.919018
 2419.085, -12.921049
 2450.774, -12.933466
 2482.878, -12.953465
 2515.403, -12.986071
 2548.354, -13.027355
 2581.736, -13.074591
 2615.556, -13.123924
 2649.819, -13.173372
 2684.531, -13.224127
 2719.697, -13.279058
 2755.324, -13.342039
 2791.418, -13.412334
 2827.985, -13.482725
 2865.030, -13.551142
 2902.561, -13.621609
 2940.583, -13.687155
 2979.104, -13.740446
 3018.129, -13.780949
 3057.666, -13.812172
 3097.720, -13.836424
 3138.299, -13.863785
 3179.410, -13.871119
 3221.059, -13.874161
 3263.254, -13.877699
 3306.001, -13.886692
 3349.309, -13.897793
 3393.183, -13.904955
 3437.633, -13.913328
 3482.665, -13.932392
 3528.286, -13.941137
 3574.505, -13.946993
 3621.330, -13.957598
 3668.768, -13.980801
 3716.828, -14.011385
 3765.517, -14.046070
 3814.844, -14.085228
 3864.817, -14.116718
 3915.445, -14.125340
 3966.736, -14.128029
 4018.698, -14.138653
 4071.342, -14.142916
 4124.675, -14.137804
 4178.707, -14.172689
 4233.446, -14.228661
 4288.903, -14.258987
 4345.086, -14.306824
 4402.005, -14.375832
 4459.670, -14.421350
 4518.090, -14.475557
 4577.275, -14.523489
 4637.236, -14.551384
 4697.982, -14.561359
 4759.524, -14.571850
 4821.872, -14.563658
 4885.037, -14.556248
 4949.029, -14.520895
 5013.860, -14.468014
 5079.540, -14.398319
 5146.080, -14.303467
 5213.492, -14.187481
 5281.787, -14.045078
 5350.976, -13.897192
 5421.072, -13.762486
